county,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Tipton,18,16,16,16,10,15,12,14,12,12,6,13,7,8,9,8,6,9,5,12,10
Union,?,?,?,?,?,?,?,?,5,?,?,?,?,?,?,?,2,2,2,3,1
Vanderburgh,102,100,151,168,182,173,142,168,162,142,155,172,135,146,127,116,126,115,123,155,153
Vermillion,19,14,10,15,10,7,10,8,10,14,15,8,9,12,9,7,6,8,8,3,3
Vigo,227,230,215,220,185,199,174,163,173,160,146,152,123,135,138,102,105,126,109,118,109
Wabash,46,43,43,27,32,24,22,18,26,21,21,19,18,8,15,13,27,20,14,13,12
Warren,8,5,5,?,?,5,?,?,?,?,?,?,6,5,?,?,2,4,4,5,7
Warrick,13,24,14,33,24,24,19,17,24,24,25,30,18,34,17,13,17,20,21,25,15
Washington,8,8,7,11,11,6,13,10,10,7,7,8,?,6,9,?,6,14,10,14,14
Wayne,50,68,47,48,46,66,62,44,57,47,50,79,63,47,58,53,52,38,36,37,28
Wells,26,15,17,19,15,17,13,9,11,14,17,13,17,8,7,13,13,10,11,10,14
White,33,22,30,35,26,25,30,25,21,19,20,23,24,17,21,20,21,18,14,30,21
Whitley,23,26,32,17,31,14,21,13,22,19,14,17,20,10,20,20,16,17,8,10,12
PROTECTED,17,14,25,12,22,16,10,22,13,17,24,19,32,12,13,23,0,0,0,0,0
UNKNOWN,0,0,0,0,0,0,18,16,18,15,9,0,0,11,22,23,40,3,0,0,0
INDIANA TOTAL,"11,983","11,676","11,767","11,369","10,398","10,936","10,036","10,224","10,092","10,382","10,469","10,081","9,553","8,640","8,318","7,595","7,621","7,487","6,767","7,172","7,263"
