"Notes"	"State"	"State Code"	"County"	"County Code"	Deaths	Births	Death Rate
	"New Hampshire"	"33"	"Hillsborough County, NH"	"33011"	12	4488	2.67 (Unreliable)
	"New Hampshire"	"33"	"Rockingham County, NH"	"33015"	13	2549	5.10 (Unreliable)
	"New Hampshire"	"33"	"Unidentified Counties, NH"	"33999"	25	5837	4.28
	"New Jersey"	"34"	"Atlantic County, NJ"	"34001"	25	3285	7.61
	"New Jersey"	"34"	"Bergen County, NJ"	"34003"	18	9360	1.92 (Unreliable)
	"New Jersey"	"34"	"Burlington County, NJ"	"34005"	33	4765	6.93
	"New Jersey"	"34"	"Camden County, NJ"	"34007"	54	6742	8.01
	"New Jersey"	"34"	"Essex County, NJ"	"34013"	73	10465	6.98
	"New Jersey"	"34"	"Gloucester County, NJ"	"34015"	17	3234	5.26 (Unreliable)
	"New Jersey"	"34"	"Hudson County, NJ"	"34017"	31	10064	3.08
	"New Jersey"	"34"	"Mercer County, NJ"	"34021"	38	4442	8.55
	"New Jersey"	"34"	"Middlesex County, NJ"	"34023"	46	10067	4.57
	"New Jersey"	"34"	"Monmouth County, NJ"	"34025"	25	6392	3.91
	"New Jersey"	"34"	"Morris County, NJ"	"34027"	17	4852	3.50 (Unreliable)
	"New Jersey"	"34"	"Ocean County, NJ"	"34029"	14	7945	1.76 (Unreliable)
	"New Jersey"	"34"	"Passaic County, NJ"	"34031"	28	7187	3.90
	"New Jersey"	"34"	"Somerset County, NJ"	"34035"	Suppressed	3533	Suppressed
	"New Jersey"	"34"	"Union County, NJ"	"34039"	40	7068	5.66
	"New Jersey"	"34"	"Unidentified Counties, NJ"	"34999"	47	7521	6.25
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	46	8607	5.34
	"New Mexico"	"35"	"Unidentified Counties, NM"	"35999"	110	19243	5.72
	"New York"	"36"	"Albany County, NY"	"36001"	25	3032	8.25
	"New York"	"36"	"Bronx County, NY"	"36005"	132	22490	5.87
	"New York"	"36"	"Dutchess County, NY"	"36027"	21	2874	7.31
	"New York"	"36"	"Erie County, NY"	"36029"	81	9773	8.29
	"New York"	"36"	"Kings County, NY"	"36047"	190	41964	4.53
	"New York"	"36"	"Monroe County, NY"	"36055"	57	8545	6.67
	"New York"	"36"	"Nassau County, NY"	"36059"	66	14242	4.63
	"New York"	"36"	"New York County, NY"	"36061"	63	20005	3.15
